  -1.8599999999999994e-001	  0.0000000000000000e+000
  0.0000000000000000e+000	  0.0000000000000000e+000
  1.8599999999999994e-001	  2.7261552849040771e+008	
  3.4499999999999997e-001	  2.5295579586673787e+008	
  5.3400000000000003e-001	  2.4335577712803695e+008	
  7.3700000000000010e-001	  2.3690839739921433e+008	
  9.5000000000000018e-001	  2.3206063253747284e+008	
  1.1360000000000001e+000	  2.2835977600518712e+008	
  1.3380000000000001e+000	  2.2504795202067205e+008	
  1.5360000000000000e+000	  2.2239771632098863e+008	
  1.7389999999999999e+000	  2.2003944916015100e+008	
  1.9390000000000001e+000	  2.1781940114802241e+008	
  2.1400000000000001e+000	  2.1598993870780730e+008	
  2.3340000000000001e+000	  2.1432742636294296e+008	
  2.5340000000000003e+000	  2.1278449687707388e+008	
  2.7340000000000004e+000	  2.1144190750562572e+008	
  2.9350000000000001e+000	  2.1035556711773902e+008	
  3.1359999999999997e+000	  2.0904403822914681e+008	
  3.3370000000000002e+000	  2.0778298262519553e+008	
  3.5370000000000004e+000	  2.0658560101109877e+008	
  3.7269999999999999e+000	  2.0556371112513828e+008	
  3.9360000000000004e+000	  2.0476312717952630e+008	
  4.1270000000000007e+000	  2.0383053618177658e+008	
  4.3369999999999997e+000	  2.0288474447881308e+008	
  4.5269999999999992e+000	  2.0222082665776724e+008	
  4.7289999999999992e+000	  2.0120903142873487e+008	
  4.9390000000000001e+000	  2.0058704525954461e+008	
  5.1289999999999996e+000	  1.9968240869636527e+008	
  5.3409999999999993e+000	  1.9906818764788893e+008	
  5.5299999999999994e+000	  1.9854870107212329e+008	
  5.7300000000000004e+000	  1.9794457468057516e+008	
  5.9329999999999998e+000	  1.9739480413402498e+008	
  6.1270000000000007e+000	  1.9678601867004845e+008	
  6.3339999999999996e+000	  1.9619664600785691e+008	
  6.5250000000000004e+000	  1.9569191316144782e+008	
  6.7249999999999996e+000	  1.9506837396811473e+008	
  6.9369999999999994e+000	  1.9458460694763339e+008	
  7.1259999999999994e+000	  1.9408841573400968e+008	
  7.3369999999999997e+000	  1.9372811413288075e+008	
  7.5269999999999992e+000	  1.9334141112132427e+008	
  7.7309999999999999e+000	  1.9281260640070179e+008	
  7.9369999999999994e+000	  1.9221546861779624e+008	
  8.1289999999999996e+000	  1.9178139836988446e+008	
  8.3390000000000004e+000	  1.9136052882718638e+008	
  8.5289999999999999e+000	  1.9089384507227585e+008	
  8.7289999999999992e+000	  1.9052189579007590e+008	
  8.9379999999999988e+000	  1.9023613934780121e+008	
  9.1280000000000001e+000	  1.8979042141881841e+008	
  9.3279999999999994e+000	  1.8954582011632785e+008	
  9.5280000000000005e+000	  1.8898828444906366e+008	
  9.7289999999999992e+000	  1.8877241409321484e+008	
  9.9379999999999988e+000	  1.8825836310194898e+008	
  1.0129000000000000e+001	  1.8816207560509554e+008	
  1.0328999999999999e+001	  1.8774275908654028e+008	
  1.0529000000000000e+001	  1.8735605607498381e+008	
  1.0730000000000000e+001	  1.8698488330485526e+008	
  1.0940999999999999e+001	  1.8676668341279224e+008	
  1.1129999999999999e+001	  1.8643278322209084e+008	
  1.1330000000000000e+001	  1.8608956488653266e+008	
  1.1529999999999999e+001	  1.8595134573782372e+008	
  1.1731000000000000e+001	  1.8553979433998245e+008	
  1.1943000000000000e+001	  1.8536585563598916e+008	
  1.2131000000000000e+001	  1.8509252338685688e+008	
  1.2331999999999999e+001	  1.8495973982264769e+008	
  1.2532999999999999e+001	  1.8459012007666197e+008	
  1.2731999999999999e+001	  1.8428495083260229e+008	
  1.2936999999999999e+001	  1.8404423209046876e+008	
  1.3134000000000000e+001	  1.8383224429497692e+008	
  1.3325999999999999e+001	  1.8359540811320034e+008	
  1.3526999999999999e+001	  1.8326927304321292e+008	
  1.3728000000000000e+001	  1.8311008806857622e+008	
  1.3936000000000000e+001	  1.8284607396430069e+008	
  1.4128000000000000e+001	  1.8266048757923645e+008	
  1.4327000000000000e+001	  1.8237007206453335e+008	
  1.4528000000000000e+001	  1.8214876612418479e+008	
  1.4729998999999999e+001	  1.8196628578740609e+008	
  1.4937999999999999e+001	  1.8161219628284833e+008	
  1.5129998999999998e+001	  1.8141340919257027e+008	
  1.5327998999999998e+001	  1.8132954588885924e+008	
  1.5527999999999999e+001	  1.8095449055837369e+008	
  1.5731000999999999e+001	  1.8088382795987645e+008	
  1.5934999000000001e+001	  1.8056390498646021e+008	
  1.6128000000000000e+001	  1.8032318624432662e+008	
  1.6327998999999998e+001	  1.8034026950989741e+008	
  1.6527000000000001e+001	  1.7995123696212670e+008	
  1.6729998999999999e+001	  1.7981457083756056e+008	
  1.6940000000000001e+001	  1.7948688274343032e+008	
  1.7128000000000000e+001	  1.7944106853121781e+008	
  1.7329000000000001e+001	  1.7920656188565546e+008	
  1.7527999999999999e+001	  1.7897904384873566e+008	
  1.7731999999999999e+001	  1.7888974496052483e+008	
  1.7929001000000000e+001	  1.7864902621839127e+008	
  1.8148001000000001e+001	  1.7867542762881881e+008	
  1.8329000000000001e+001	  1.7833220929326060e+008	
  1.8528998999999999e+001	  1.7816215314962432e+008	
  1.8731999999999999e+001	  1.7803868773027191e+008	
  1.8940000000000001e+001	  1.7779796898813838e+008	
  1.9131000000000000e+001	  1.7764421959800145e+008	
  1.9330998999999998e+001	  1.7745630367672297e+008	
  1.9530000999999999e+001	  1.7751920115450627e+008	
  1.9731999999999999e+001	  1.7727071729165873e+008	
  1.9931000000000001e+001	  1.7716666467409131e+008	
  2.0131000000000000e+001	  1.7692982849231476e+008	
  2.0329999999999998e+001	  1.7689177940081620e+008	
  2.0532000000000000e+001	  1.7663553041725466e+008	
  2.0733999000000001e+001	  1.7659359876539913e+008	
  2.0940999999999999e+001	  1.7634356187840876e+008	
  2.1131999999999998e+001	  1.7616729363820130e+008	
  2.1332000999999998e+001	  1.7597627166863725e+008	
  2.1532000000000000e+001	  1.7590949163049695e+008	
  2.1731999999999999e+001	  1.7560043982608032e+008	
  2.1931999000000001e+001	  1.7554530746901101e+008	
  2.2131999999999998e+001	  1.7546222067737138e+008	
  2.2332000999999998e+001	  1.7519121796445322e+008	
  2.2532000000000000e+001	  1.7517025213852549e+008	
  2.2731999999999999e+001	  1.7500718460353181e+008	
  2.2943999999999999e+001	  1.7498233621724704e+008	
  2.3134999999999998e+001	  1.7468648511804417e+008	
  2.3334000000000000e+001	  1.7470978048018613e+008	
  2.3533999999999999e+001	  1.7444033079141080e+008	
  2.3735001000000000e+001	  1.7438519843434149e+008	
  2.3934000000000001e+001	  1.7409944199206683e+008	
  2.4134001000000001e+001	  1.7414292666806513e+008	
  2.4334000000000000e+001	  1.7409711245585260e+008	
  2.4533999999999999e+001	  1.7381446206186351e+008	
  2.4735001000000000e+001	  1.7383542788779131e+008	
  2.4948000000000000e+001	  1.7364984150272703e+008	
  2.5134999999999998e+001	  1.7348522094359055e+008	
  2.5335000999999998e+001	  1.7326313849117053e+008	
  2.5535000000000000e+001	  1.7325925593081355e+008	
  2.5736999000000001e+001	  1.7314355563217515e+008	
  2.5936001000000001e+001	  1.7306435140089250e+008	
  2.6134999999999998e+001	  1.7290128386589876e+008	
  2.6335999999999999e+001	  1.7277781844654638e+008	
  2.6535000000000000e+001	  1.7262795161676645e+008	
  2.6747000000000000e+001	  1.7242916452648845e+008	
  2.6943000999999999e+001	  1.7253865272855562e+008	
  2.7132998999999998e+001	  1.7230569910713604e+008	
  2.7335000999999998e+001	  1.7217291554292688e+008	
  2.7533000999999999e+001	  1.7197024589229184e+008	
  2.7736999000000001e+001	  1.7208749921507305e+008	
  2.7934999000000001e+001	  1.7193064377665052e+008	
  2.8132998999999998e+001	  1.7167439479308897e+008	
  2.8334000000000000e+001	  1.7162702755673367e+008	
  2.8535000000000000e+001	  1.7162858058087647e+008	
  2.8738001000000001e+001	  1.7152452796330905e+008	
  2.8946999999999999e+001	  1.7126905549181890e+008	
  2.9134001000000001e+001	  1.7125352525039095e+008	
  2.9335000999999998e+001	  1.7102445418932834e+008	
  2.9535999000000000e+001	  1.7101125348411459e+008	
  2.9736000000000001e+001	  1.7099960580304360e+008	
  2.9934999000000001e+001	  1.7086682223883444e+008	
  3.0134999999999998e+001	  1.7059038394141653e+008	
  3.0335000999999998e+001	  1.7071307284869748e+008	
  3.0535999000000000e+001	  1.7066415258819944e+008	
  3.0737000999999999e+001	  1.7050496761356270e+008	
  3.0947000000000003e+001	  1.7030928657157025e+008	
  3.1136999000000003e+001	  1.7029608586635646e+008	
  3.1336999999999996e+001	  1.7005381410008010e+008	
  3.1536000999999999e+001	  1.6993034868072772e+008	
  3.1738000999999997e+001	  1.7000256430336779e+008	
  3.1935999000000002e+001	  1.6986201561844465e+008	
  3.2136000000000003e+001	  1.6997616289294025e+008	
  3.2336999999999996e+001	  1.6978979999580455e+008	
  3.2536000999999999e+001	  1.6950947913802969e+008	
  3.2738999999999997e+001	  1.6949783145695871e+008	
  3.2939000999999998e+001	  1.6941862722567603e+008	
  3.3130999000000003e+001	  1.6933321089782217e+008	
  3.3330998999999998e+001	  1.6935184718753576e+008	
  3.3530000999999999e+001	  1.6912665868683016e+008	
  3.3732999999999997e+001	  1.6898222744155005e+008	
  3.3941000000000003e+001	  1.6893486020519471e+008	
  3.4132002000000000e+001	  1.6905056050383309e+008	
  3.4332997999999996e+001	  1.6888749296883941e+008	
  3.4531999999999996e+001	  1.6861804328006405e+008	
  3.4733998999999997e+001	  1.6863357352149206e+008	
  3.4932001000000000e+001	  1.6869025890270415e+008	
  3.5132002000000000e+001	  1.6852175578321066e+008	
  3.5331998999999996e+001	  1.6841770316564324e+008	
  3.5531999999999996e+001	  1.6822978724436474e+008	
  3.5735998000000002e+001	  1.6814670045272511e+008	
  3.5933000999999997e+001	  1.6795334894694686e+008	
  3.6133001000000000e+001	  1.6789045146916360e+008	
  3.6341000999999999e+001	  1.6792617102444792e+008	
  3.6532998999999997e+001	  1.6786948564323583e+008	
  3.6738999999999997e+001	  1.6784851981730807e+008	
  3.6933000999999997e+001	  1.6762488434074527e+008	
  3.7133001000000000e+001	  1.6760236549067470e+008	
  3.7332997999999996e+001	  1.6745405168503755e+008	
  3.7532998999999997e+001	  1.6734068092261335e+008	
  3.7735998000000002e+001	  1.6736708233304092e+008	
  3.7933999999999997e+001	  1.6741056700903925e+008	
  3.8133001000000000e+001	  1.6720401479804721e+008	
  3.8334001000000001e+001	  1.6711471590983638e+008	
  3.8532998999999997e+001	  1.6709452659598002e+008	
  3.8735998000000002e+001	  1.6702231097333997e+008	
  3.8942999000000000e+001	  1.6699202700255543e+008	
  3.9133001000000000e+001	  1.6689340996948782e+008	
  3.9335999999999999e+001	  1.6673810755520806e+008	
  3.9535001999999999e+001	  1.6669074031885272e+008	
  3.9737000999999999e+001	  1.6671092963270912e+008	
  3.9933999999999997e+001	  1.6655795675464359e+008	
  4.0134999999999998e+001	  1.6641740806972042e+008	
  4.0334001000000001e+001	  1.6661464213585567e+008	
  4.0535001999999999e+001	  1.6634130988672337e+008	
  4.0738000999999997e+001	  1.6629238962622526e+008	
  4.0933999999999997e+001	  1.6631723801251000e+008	
  4.1134999999999998e+001	  1.6613708721194556e+008	
  4.1342000999999996e+001	  1.6606875414966246e+008	
  4.1533997999999997e+001	  1.6609670858423281e+008	
  4.1737000999999999e+001	  1.6604778832373470e+008	
  4.1933999999999997e+001	  1.6593597058545330e+008	
  4.2136000000000003e+001	  1.6583890657652846e+008	
  4.2335000999999998e+001	  1.6591655778366834e+008	
  4.2533997999999997e+001	  1.6571233510889050e+008	
  4.2738000999999997e+001	  1.6570845254853350e+008	
  4.2933999999999997e+001	  1.6576125536938861e+008	
  4.3134000999999998e+001	  1.6565720275182119e+008	
  4.3335000999999998e+001	  1.6544832100461498e+008	
  4.3533997999999997e+001	  1.6537843491818911e+008	
  4.3735998000000002e+001	  1.6544521495632941e+008	
  4.3945002000000002e+001	  1.6524176879362294e+008	
  4.4134999999999998e+001	  1.6534815094740453e+008	
  4.4335999999999999e+001	  1.6524953391433695e+008	
  4.4536000999999999e+001	  1.6520760226248142e+008	
  4.4738000999999997e+001	  1.6503754611884513e+008	
  4.4936998000000003e+001	  1.6486438392692325e+008	
  4.5134999999999998e+001	  1.6499949702734655e+008	
  4.5335999999999999e+001	  1.6487991416835120e+008	
  4.5537000999999997e+001	  1.6478285015942636e+008	
  4.5737000999999999e+001	  1.6469432778328693e+008	
  4.5935999000000002e+001	  1.6466947939700219e+008	
  4.6136000000000003e+001	  1.6461667657614705e+008	
  4.6335999999999999e+001	  1.6460891145543310e+008	
