  -2.0199999999999996e-001	  0.0000000000000000e+000
  0.0000000000000000e+000	  0.0000000000000000e+000	
  2.0199999999999996e-001	  1.5235367121132940e-009	
  3.9699999999999980e-001	  3.4380787918234638e-009	
  6.0099999999999998e-001	  3.8541390649699431e-009	
  8.0299999999999994e-001	  4.0439609830546589e-009	
  1.0019999999999998e+000	  4.1559886597497163e-009	
  1.1959999999999997e+000	  4.2418699300593455e-009	
  1.3959999999999999e+000	  4.3106840963906320e-009	
  1.5960000000000001e+000	  4.3689305500841651e-009	
  1.7960000000000003e+000	  4.4096633767301534e-009	
  1.9939999999999998e+000	  4.4479155196583591e-009	
  2.1790000000000003e+000	  4.4868126403531895e-009	
  2.3940000000000001e+000	  4.5227825542610343e-009	
  2.5940000000000003e+000	  4.5537911007333165e-009	
  2.7789999999999999e+000	  4.5742319345678443e-009	
  2.9930000000000003e+000	  4.6122856227986274e-009	
  3.1779999999999999e+000	  4.6355544360714270e-009	
  3.3949999999999996e+000	  4.6684979158435783e-009	
  3.5789999999999997e+000	  4.6887402949806844e-009	
  3.7770000000000001e+000	  4.7153828381096683e-009	
  3.9889999999999999e+000	  4.7382547419876226e-009	
  4.1749999999999998e+000	  4.7642026936756274e-009	
  4.3970000000000002e+000	  4.7845443001614431e-009	
  4.5759999999999996e+000	  4.8032982690678796e-009	
  4.7729999999999997e+000	  4.8246321490408084e-009	
  4.9870000000000001e+000	  4.8408558205551062e-009	
  5.1739999999999995e+000	  4.8656626577329306e-009	
  5.3870000000000005e+000	  4.8848135360342114e-009	
  5.5719999999999992e+000	  4.8979115460641036e-009	
  5.7710000000000008e+000	  4.9140359902296893e-009	
  5.9860000000000007e+000	  4.9337822326232388e-009	
  6.1699999999999999e+000	  4.9510974049733601e-009	
  6.3849999999999998e+000	  4.9667257123953893e-009	
  6.5689999999999991e+000	  4.9793275856817249e-009	
  6.7680000000000007e+000	  4.9974861904958919e-009	
  6.9800000000000004e+000	  5.0088477219233359e-009	
  7.1820000000000004e+000	  5.0227891644172729e-009	
  7.3669999999999991e+000	  5.0378221077470358e-009	
  7.5660000000000007e+000	  5.0500270716385254e-009	
  7.7660000000000000e+000	  5.0667468798963789e-009	
  7.9819999999999993e+000	  5.0762230916983081e-009	
  8.1720000000000006e+000	  5.0909583529819372e-009	
  8.3659999999999997e+000	  5.1031137031990707e-009	
  8.5640000000000001e+000	  5.1221157404772842e-009	
  8.7639999999999993e+000	  5.1298554736767659e-009	
  8.9809999999999999e+000	  5.1406216410119420e-009	
  9.1630000000000003e+000	  5.1566468578288172e-009	
  9.3750000000000000e+000	  5.1658253875846116e-009	
  9.5649999999999995e+000	  5.1775838284069016e-009	
  9.7639999999999993e+000	  5.1859685393730063e-009	
  9.9809999999999999e+000	  5.1979254348927181e-009	
  1.0164000000000000e+001	  5.2090885116227394e-009	
  1.0363000000000000e+001	  5.2176716772862668e-009	
  1.0564000000000000e+001	  5.2297774138290451e-009	
  1.0760999999999999e+001	  5.2353837590312333e-009	
  1.0973000000000001e+001	  5.2442149930665377e-009	
  1.1160000000000000e+001	  5.2542865689607355e-009	
  1.1375999999999999e+001	  5.2628697346242638e-009	
  1.1558000000000000e+001	  5.2732886062389490e-009	
  1.1759000000000000e+001	  5.2806810437179416e-009	
  1.1971000000000000e+001	  5.2896115051019582e-009	
  1.2157000000000000e+001	  5.3051405851752768e-009	
  1.2356999999999999e+001	  5.3148152516746286e-009	
  1.2557000000000000e+001	  5.3206200515742403e-009	
  1.2755998999999999e+001	  5.3281613300762978e-009	
  1.2972000999999999e+001	  5.3361491316475590e-009	
  1.3156001000000000e+001	  5.3451292067059299e-009	
